gas_price,gas_used,nonce,label
9965512116,221938,10796,1
233200391376,500000,1819,1
11000000000,90000,419420,0
71316259259,150164,220979,1
20602776876,106876,33,0
12719947162,250000,44707855,1
9878595568,225984,89473,1
69000000000,148939,29,0
13902762663,69906,1,0
14457126588,254191,2158,0
11506954673,250000,44705709,1
12650000000,55924,297,0
44468431741,446090,33842,1
13500000000,148939,23,0
68975602026,600000,1864,1
23419690480,160314,220,0
64171245511,273367,41758,1
18235098743,21000,33,0
15799513044,728457,13088,1
21367883754,500000,1620,1
19294356636,232546,76461,1
9137205710,705504,39618,1
13743687207,250000,44708090,1
8825639872,1542880,89533,1
8580218596,256002,101193,1
8992920963,627641,29557,1
8084753667,74978,9402,1
122000000000,60000,1,1
59915190678,230244,41656,0
11506954673,250000,44705754,1
6995685013,578521,25089,1
11824573490,252049,3682,1
10818162785,46267,20,1
40000000000,89895,0,0
51000000000,120000,308435,1
7782471300,193287,85477,1
30000000000,100000,3,1
10486981967,45038,22,1
14000000000,55977,367,0
5837007134,248020,5690,1
11917757533,250000,44706783,1
4320980266,724275,1752,1
12000000000,21000,139,0
8533715301,45038,724,1
15576105514,160314,90,0
20084031256,726400,103048,0
12063999699,250000,44704714,1
15188971933,173116,38,0
11823859792,250000,44705193,1
11133164335,500000,4786,1
13260296772,250000,44704856,1
13500000000,148939,20,0
65421235996,500000,1783,1
13933513692,252796,3620,1
1345288219158,188193,4900,1
8959853689,353806,34,1
34210000000,200000,1186255,0
16000000000,148939,23,0
1200000000000,200000,12783,1
14357585692,21000,1,0
6000000000,4015404,7468,1
9000000000,163862,47,1
10362582990,211048,10161,1
16628717813,29045,445,0
13235479381,250000,44706938,1
15262306550,138939,13,0
9800077258,242508,10498,1
11685091714,63574,6,1
26947978061,281332,22922,1
15373734434,46641,78,0
102000000000,207128,4270499,0
15493066855,250000,44708139,1
5459752498,222747,89,1
8042123568,3000000,10201,1
15680490362,163936,8531,1
102000000000,207128,4270536,0
529855933686,182000,66,1
25000000000,128251,3,0
11887900094,357271,2370,1
9028312417,252506,10762,1
14842624174,177806,85454,1
150000000000,138939,873,0
15000000000,23300,1194,0
8182143694,1391212,82186,1
15240795884,250000,44709081,1
13743687207,250000,44708042,1
8740265868,278836,51,1
12866076887,159909,29,0
9000000000,138939,44,0
15166077427,250000,44705589,1
18654695430,289976,189,0
14162368712,501748,10,1
11107538195,700000,160,1
10024344803,500000,4857,1
12224414801,21000,0,0
19024528005,21000,6,0
11966587860,500000,4716,1
8711958462,59957,146,1
13968982514,257276,89585,1
102000000000,207128,4515911,0
10488167376,94765,14,0
18140892091,250000,44708783,0
13743687207,250000,44708100,1
12922236562,244606,28,0
10350000000,75836,0,0
10000000000,150000,73,0
9974994765,46267,1413,0
51000000000,21000,155917,0
10444585023,21000,6,0
14211265210,21000,84,0
8536909875,250000,44707216,1
23866937521,295339,34,0
13690692522,722363,4348,1
12004223742,21000,26322,1
9811216049,402640,1584,0
13623558169,131364,25055,0
17910000000,128251,35,0
15166077427,250000,44705597,1
27462263710,5440000,4025,0
30000000000,21000,0,0
8307399887,63620,77,1
7159847483,48836,29,1
10645682295,329644,4346,1
30000000000,82085,15390,1
9166548549,190858,20,1
8536909875,250000,44707286,1
12750000000,561133,15539,0
500000000000,299816,22966,0
14630957836,69145,12,0
10394355753,429822,99834,1
18654695430,160314,6,0
30000000000,128251,25,0
24000000000,92242,48,0
18789553490,155238,33789,1
15000000000,210000,49,1
12866076887,456581,541,0
14067028119,250000,44706087,1
24000000000,69374,3,0
19120000000,106876,56,0
8832076011,238926,873,1
13235479381,250000,44706912,1
11270080960,250000,44707609,1
17371549986,21000,5,0
19000000000,138938,95,0
11009140558,227906,82154,1
45000000000,447510,1610,0
8192930090,45038,0,1
100000000000,128251,13,0
150000000000,175810,143,1
22552087586,160314,60,0
102000000000,207128,3340048,0
16577358226,192594,2244,0
22385947178,740000,64022,0
9737590262,578551,809,1
7694863028,252354,22910,1
8633730270,192595,157,1
14000000000,21000,2,0
9602662398,250000,44707304,1
7563302020,780699,11776,1
20470167914,250000,44708809,0
57000000000,200000,3,1
12000000000,297829,9675,0
25000000000,56630,1129,0
24000000000,42000,343,0
17000000000,138939,3,0
14000000000,128251,120,0
7875818787,238954,43,1
13923443293,212449,175,0
11412618056,69818,6,0
15278192548,128251,148,0
20000000000,21000,57,0
12000000000,21000,3,0
9458183470,250000,44706901,1
10000000000,460597,10,1
16086250796,109242,33,0
35134965856,106411,245,0
11919621437,161107,51,0
15055547800,933684,679,0
11576625014,500001,8020,1
4626667012,400000,1,1
5241455470,280058,33776,1
11270080960,250000,44707606,1
12866076887,21000,5,0
17060396361,21000,24,0
20470167914,250000,44708808,0
8928284904,219308,3588,1
19350316542,160314,386,0
15072044568,72325,83,0
14457126588,76136,432,0
12000000000,106876,90,0
24919690480,285000,12,0
9639047372,21000,1,1
10635509341,161506,20,0
13813782500,21000,5640,0
15781067802,160314,74,0
11404877254,250000,44708244,1
61014020061,21000,5,0
